
==================== Parser Summary ====================
Num Cell: 150750
Num Net: 166998
Max Degree: 4
Lower Bound: 74621.2
Higher Bound: 76128.8

==================== Init Partition Summary ====================
Left: 74622, Right: 76128
Initial State: 109852
[FM(209)]Cut Size: 43441, Current Best Cut: 43278, Repeat for: 1, Not Change for: 22
[FM(210)]Cut Size: 43639, Current Best Cut: 43278, Repeat for: 1, Not Change for: 23
[FM(211)]Cut Size: 43639, Current Best Cut: 43278, Repeat for: 1, Not Change for: 24
[FM(212)]Cut Size: 43639, Current Best Cut: 43278, Repeat for: 1, Not Change for: 25
[FM(213)]Cut Size: 43937, Current Best Cut: 43278, Repeat for: 1, Not Change for: 26
[FM(214)]Cut Size: 43414, Current Best Cut: 43278, Repeat for: 1, Not Change for: 27
[FM(215)]Cut Size: 43414, Current Best Cut: 43278, Repeat for: 1, Not Change for: 28
[FM(216)]Cut Size: 43494, Current Best Cut: 43278, Repeat for: 1, Not Change for: 29
[FM(217)]Cut Size: 43493, Current Best Cut: 43278, Repeat for: 1, Not Change for: 30
[FM(218)]Cut Size: 43493, Current Best Cut: 43278, Repeat for: 1, Not Change for: 31
[FM(219)]Cut Size: 43526, Current Best Cut: 43278, Repeat for: 1, Not Change for: 32
[FM(220)]Cut Size: 43526, Current Best Cut: 43278, Repeat for: 1, Not Change for: 33
[FM(221)]Cut Size: 43294, Current Best Cut: 43278, Repeat for: 1, Not Change for: 34
[FM(222)]Cut Size: 43290, Current Best Cut: 43278, Repeat for: 1, Not Change for: 35
[FM(223)]Cut Size: 43290, Current Best Cut: 43278, Repeat for: 1, Not Change for: 36
[FM(224)]Cut Size: 43210, Current Best Cut: 43210, Repeat for: 1, Not Change for: 0
[FM(225)]Cut Size: 43250, Current Best Cut: 43210, Repeat for: 1, Not Change for: 1
[FM(226)]Cut Size: 43278, Current Best Cut: 43210, Repeat for: 1, Not Change for: 2
[FM(227)]Cut Size: 43338, Current Best Cut: 43210, Repeat for: 1, Not Change for: 3
[FM(228)]Cut Size: 43374, Current Best Cut: 43210, Repeat for: 1, Not Change for: 4
[FM(229)]Cut Size: 43374, Current Best Cut: 43210, Repeat for: 1, Not Change for: 5
[FM(230)]Cut Size: 43374, Current Best Cut: 43210, Repeat for: 1, Not Change for: 6
[FM(231)]Cut Size: 43374, Current Best Cut: 43210, Repeat for: 1, Not Change for: 7
[FM(232)]Cut Size: 43407, Current Best Cut: 43210, Repeat for: 1, Not Change for: 8
[FM(233)]Cut Size: 43411, Current Best Cut: 43210, Repeat for: 1, Not Change for: 9
[FM(234)]Cut Size: 43408, Current Best Cut: 43210, Repeat for: 1, Not Change for: 10
[FM(235)]Cut Size: 43408, Current Best Cut: 43210, Repeat for: 1, Not Change for: 11
[FM(236)]Cut Size: 43411, Current Best Cut: 43210, Repeat for: 1, Not Change for: 12
[FM(237)]Cut Size: 43411, Current Best Cut: 43210, Repeat for: 1, Not Change for: 13
[FM(238)]Cut Size: 43411, Current Best Cut: 43210, Repeat for: 1, Not Change for: 14
[FM(239)]Cut Size: 43411, Current Best Cut: 43210, Repeat for: 1, Not Change for: 15
[FM(240)]Cut Size: 43411, Current Best Cut: 43210, Repeat for: 1, Not Change for: 16
[FM(241)]Cut Size: 43280, Current Best Cut: 43210, Repeat for: 1, Not Change for: 17
[FM(242)]Cut Size: 43280, Current Best Cut: 43210, Repeat for: 1, Not Change for: 18
[FM(243)]Cut Size: 43280, Current Best Cut: 43210, Repeat for: 1, Not Change for: 19
[FM(244)]Cut Size: 43344, Current Best Cut: 43210, Repeat for: 1, Not Change for: 20
[FM(245)]Cut Size: 43344, Current Best Cut: 43210, Repeat for: 1, Not Change for: 21
[FM(246)]Cut Size: 43388, Current Best Cut: 43210, Repeat for: 1, Not Change for: 22
[FM(247)]Cut Size: 43388, Current Best Cut: 43210, Repeat for: 1, Not Change for: 23
[FM(248)]Cut Size: 43408, Current Best Cut: 43210, Repeat for: 1, Not Change for: 24
[FM(249)]Cut Size: 43401, Current Best Cut: 43210, Repeat for: 1, Not Change for: 25
